"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.101","192.168.56.1","SSH","190","Server: Encrypted packet (len=124)"
"2","0.000212","192.168.56.1","192.168.56.101","TCP","66","51547  >  22 [ACK] Seq=1 Ack=125 Win=4092 Len=0 TSval=964114117 TSecr=2262577"
"3","7.519092","192.168.56.1","192.168.56.255","NBNS","110","Registration NB MACBOOKPRO-65AF<00>"
"4","8.519793","192.168.56.1","192.168.56.255","NBNS","110","Registration NB MACBOOKPRO-65AF<00>"
"5","9.520437","192.168.56.1","192.168.56.255","NBNS","110","Registration NB MACBOOKPRO-65AF<00>"
"6","25.736136","192.168.56.1","224.0.0.251","MDNS","436","Standard query 0x0000 PTR _airplay._tcp.local, ""QM"" question PTR _raop._tcp.local, ""QM"" question PTR _kmclipboards._tcp.local, ""QM"" question PTR _kmclipboardss._tcp.local, ""QM"" question PTR _uscan._tcp.local, ""QM"" question PTR _uscans._tcp.local, ""QM"" question PTR _ippusb._tcp.local, ""QM"" question PTR _scanner._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question PTR _ipps._tcp.local, ""QM"" question PTR _printer._tcp.local, ""QM"" question PTR _pdl-datastream._tcp.local, ""QM"" question PTR _ptp._tcp.local, ""QM"" question PTR _airport._tcp.local, ""QM"" question PTR _googlecast._tcp.local, ""QM"" question PTR _privet._tcp.local, ""QM"" question PTR _afpovertcp._tcp.local, ""QM"" question PTR _smb._tcp.local, ""QM"" question PTR _rfb._tcp.local, ""QM"" question PTR _adisk._tcp.local, ""QM"" question PTR _apple-mobdev._tcp.local, ""QM"" question PTR 946c081c._sub._apple-mobdev2._tcp.local, ""QM"" question PTR _apple-pairable._tcp.local, ""QM"" question"
"7","27.060515","192.168.56.102","192.168.56.101","TCP","74","60832  >  830 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2268400 TSecr=0 WS=512"
"8","27.060555","192.168.56.101","192.168.56.102","TCP","74","830  >  60832 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2269342 TSecr=2268400 WS=128"
"9","27.060853","192.168.56.102","192.168.56.101","TCP","66","60832  >  830 [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=2268400 TSecr=2269342"
"10","27.063008","192.168.56.102","192.168.56.101","TCP","66","60832  >  830 [FIN, ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=2268401 TSecr=2269342"
"11","27.066126","192.168.56.101","192.168.56.102","TCP","66","830  >  60832 [ACK] Seq=1 Ack=2 Win=29056 Len=0 TSval=2269344 TSecr=2268401"
"12","27.066851","192.168.56.101","192.168.56.102","TCP","107","830  >  60832 [PSH, ACK] Seq=1 Ack=2 Win=29056 Len=41 TSval=2269344 TSecr=2268401"
"13","27.067138","192.168.56.102","192.168.56.101","TCP","60","60832  >  830 [RST] Seq=2 Win=0 Len=0"
"14","27.093505","192.168.56.102","192.168.56.101","TCP","74","60834  >  830 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2268408 TSecr=0 WS=512"
"15","27.093538","192.168.56.101","192.168.56.102","TCP","74","830  >  60834 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2269350 TSecr=2268408 WS=128"
"16","27.093889","192.168.56.102","192.168.56.101","TCP","66","60834  >  830 [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=2268409 TSecr=2269350"
"17","27.094241","192.168.56.102","192.168.56.101","TCP","66","60834  >  830 [FIN, ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=2268409 TSecr=2269350"
"18","27.097996","192.168.56.101","192.168.56.102","TCP","66","830  >  60834 [ACK] Seq=1 Ack=2 Win=29056 Len=0 TSval=2269352 TSecr=2268409"
"19","27.104911","192.168.56.101","192.168.56.102","TCP","107","830  >  60834 [PSH, ACK] Seq=1 Ack=2 Win=29056 Len=41 TSval=2269353 TSecr=2268409"
"20","27.107414","192.168.56.101","192.168.56.102","TCP","66","830  >  60834 [FIN, ACK] Seq=42 Ack=2 Win=29056 Len=0 TSval=2269354 TSecr=2268409"
"21","27.107757","192.168.56.102","192.168.56.101","TCP","60","60834  >  830 [RST] Seq=2 Win=0 Len=0"
"22","27.108265","192.168.56.102","192.168.56.101","TCP","60","60834  >  830 [RST] Seq=2 Win=0 Len=0"
"23","27.280109","192.168.56.102","192.168.56.101","TCP","74","60836  >  830 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=2268455 TSecr=0 WS=512"
"24","27.280133","192.168.56.101","192.168.56.102","TCP","74","830  >  60836 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=2269397 TSecr=2268455 WS=128"
"25","27.280367","192.168.56.102","192.168.56.101","TCP","66","60836  >  830 [ACK] Seq=1 Ack=1 Win=29696 Len=0 TSval=2268455 TSecr=2269397"
"26","27.285151","192.168.56.101","192.168.56.102","TCP","107","830  >  60836 [PSH, ACK] Seq=1 Ack=1 Win=29056 Len=41 TSval=2269398 TSecr=2268455"
"27","27.285488","192.168.56.102","192.168.56.101","TCP","66","60836  >  830 [ACK] Seq=1 Ack=42 Win=29696 Len=0 TSval=2268457 TSecr=2269398"
"28","27.304786","192.168.56.102","192.168.56.101","TCP","88","60836  >  830 [PSH, ACK] Seq=1 Ack=42 Win=29696 Len=22 TSval=2268461 TSecr=2269398"
