"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.56.102","192.168.56.102","TCP","74","41150  >  6633 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=979462 TSecr=0 WS=512"
"2","0.000011","192.168.56.102","192.168.56.102","TCP","74","6633  >  41150 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=979462 TSecr=979462 WS=512"
"3","0.000078","192.168.56.102","192.168.56.102","TCP","66","41150  >  6633 [ACK] Seq=1 Ack=1 Win=44032 Len=0 TSval=979462 TSecr=979462"
"4","0.000998","192.168.56.102","192.168.56.102","TCP","66","41150  >  6633 [FIN, ACK] Seq=1 Ack=1 Win=44032 Len=0 TSval=979463 TSecr=979462"
"5","0.004466","192.168.56.102","192.168.56.102","TCP","66","6633  >  41150 [ACK] Seq=1 Ack=2 Win=44032 Len=0 TSval=979464 TSecr=979463"
"6","0.006218","192.168.56.102","192.168.56.102","TCP","66","6633  >  41150 [FIN, ACK] Seq=1 Ack=2 Win=44032 Len=0 TSval=979464 TSecr=979463"
"7","0.006231","192.168.56.102","192.168.56.102","TCP","66","41150  >  6633 [ACK] Seq=2 Ack=2 Win=44032 Len=0 TSval=979464 TSecr=979464"
"8","0.199180","192.168.56.102","192.168.56.102","TCP","74","41152  >  6633 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=979512 TSecr=0 WS=512"
"9","0.199192","192.168.56.102","192.168.56.102","TCP","74","6633  >  41152 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=979512 TSecr=979512 WS=512"
"10","0.199202","192.168.56.102","192.168.56.102","TCP","66","41152  >  6633 [ACK] Seq=1 Ack=1 Win=44032 Len=0 TSval=979512 TSecr=979512"
"11","0.204975","192.168.56.102","192.168.56.102","TCP","74","41154  >  6633 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=979514 TSecr=0 WS=512"
"12","0.204983","192.168.56.102","192.168.56.102","TCP","74","6633  >  41154 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=979514 TSecr=979514 WS=512"
"13","0.204990","192.168.56.102","192.168.56.102","TCP","66","41154  >  6633 [ACK] Seq=1 Ack=1 Win=44032 Len=0 TSval=979514 TSecr=979514"
"14","0.206120","192.168.56.102","192.168.56.102","OpenFlow","82","Type: OFPT_HELLO"
"15","0.206137","192.168.56.102","192.168.56.102","TCP","66","6633  >  41152 [ACK] Seq=1 Ack=17 Win=44032 Len=0 TSval=979514 TSecr=979514"
"16","0.206175","192.168.56.102","192.168.56.102","OpenFlow","82","Type: OFPT_HELLO"
"17","0.206196","192.168.56.102","192.168.56.102","TCP","66","6633  >  41154 [ACK] Seq=1 Ack=17 Win=44032 Len=0 TSval=979514 TSecr=979514"
"18","0.210493","192.168.56.102","192.168.56.102","OpenFlow","82","Type: OFPT_HELLO"
